unique_id,ds,SeasonalNaive
96995,2017-08-02,1
96995,2017-08-03,2
96995,2017-08-04,1
96995,2017-08-05,2
96995,2017-08-06,1
96995,2017-08-07,4
96995,2017-08-08,2
96995,2017-08-09,1
96995,2017-08-10,2
96995,2017-08-11,1
96995,2017-08-12,2
96995,2017-08-13,1
96995,2017-08-14,4
96995,2017-08-15,2
99197,2017-08-02,11
99197,2017-08-03,5
99197,2017-08-04,11
99197,2017-08-05,5
99197,2017-08-06,0
99197,2017-08-07,0
99197,2017-08-08,0
99197,2017-08-09,11
99197,2017-08-10,5
99197,2017-08-11,11
99197,2017-08-12,5
99197,2017-08-13,0
99197,2017-08-14,0
99197,2017-08-15,0
103520,2017-08-02,5
103520,2017-08-03,7
103520,2017-08-04,7
103520,2017-08-05,8
103520,2017-08-06,7
103520,2017-08-07,5
103520,2017-08-08,8
103520,2017-08-09,5
103520,2017-08-10,7
103520,2017-08-11,7
103520,2017-08-12,8
103520,2017-08-13,7
103520,2017-08-14,5
103520,2017-08-15,8
103665,2017-08-02,5
103665,2017-08-03,3
103665,2017-08-04,9
103665,2017-08-05,15
103665,2017-08-06,3
103665,2017-08-07,4
103665,2017-08-08,14
103665,2017-08-09,5
103665,2017-08-10,3
103665,2017-08-11,9
103665,2017-08-12,15
103665,2017-08-13,3
103665,2017-08-14,4
103665,2017-08-15,14
105574,2017-08-02,20
105574,2017-08-03,12
105574,2017-08-04,18
105574,2017-08-05,33
105574,2017-08-06,34
105574,2017-08-07,17
105574,2017-08-08,10
105574,2017-08-09,20
105574,2017-08-10,12
105574,2017-08-11,18
105574,2017-08-12,33
105574,2017-08-13,34
105574,2017-08-14,17
105574,2017-08-15,10
105575,2017-08-02,0
105575,2017-08-03,0
105575,2017-08-04,19
105575,2017-08-05,30
105575,2017-08-06,21
105575,2017-08-07,15
105575,2017-08-08,41
105575,2017-08-09,0
105575,2017-08-10,0
105575,2017-08-11,19
105575,2017-08-12,30
105575,2017-08-13,21
105575,2017-08-14,15
105575,2017-08-15,41
105577,2017-08-02,6
105577,2017-08-03,6
105577,2017-08-04,0
105577,2017-08-05,23
105577,2017-08-06,5
105577,2017-08-07,3
105577,2017-08-08,0
105577,2017-08-09,6
105577,2017-08-10,6
105577,2017-08-11,0
105577,2017-08-12,23
105577,2017-08-13,5
105577,2017-08-14,3
105577,2017-08-15,0
105693,2017-08-02,2
105693,2017-08-03,0
105693,2017-08-04,0
105693,2017-08-05,0
105693,2017-08-06,1
105693,2017-08-07,3
105693,2017-08-08,2
105693,2017-08-09,2
105693,2017-08-10,0
105693,2017-08-11,0
105693,2017-08-12,0
105693,2017-08-13,1
105693,2017-08-14,3
105693,2017-08-15,2
105737,2017-08-02,16
105737,2017-08-03,5
105737,2017-08-04,15
105737,2017-08-05,17
105737,2017-08-06,16
105737,2017-08-07,12
105737,2017-08-08,11
105737,2017-08-09,16
105737,2017-08-10,5
105737,2017-08-11,15
105737,2017-08-12,17
105737,2017-08-13,16
105737,2017-08-14,12
105737,2017-08-15,11
105857,2017-08-02,14
105857,2017-08-03,19
105857,2017-08-04,44
105857,2017-08-05,39
105857,2017-08-06,17
105857,2017-08-07,27
105857,2017-08-08,37
105857,2017-08-09,14
105857,2017-08-10,19
105857,2017-08-11,44
105857,2017-08-12,39
105857,2017-08-13,17
105857,2017-08-14,27
105857,2017-08-15,37
106716,2017-08-02,5
106716,2017-08-03,2
106716,2017-08-04,6
106716,2017-08-05,10
106716,2017-08-06,10
106716,2017-08-07,3
106716,2017-08-08,5
106716,2017-08-09,5
106716,2017-08-10,2
106716,2017-08-11,6
106716,2017-08-12,10
106716,2017-08-13,10
106716,2017-08-14,3
106716,2017-08-15,5
108079,2017-08-02,2
108079,2017-08-03,1
108079,2017-08-04,7
108079,2017-08-05,7
108079,2017-08-06,0
108079,2017-08-07,1
108079,2017-08-08,0
108079,2017-08-09,2
108079,2017-08-10,1
108079,2017-08-11,7
108079,2017-08-12,7
108079,2017-08-13,0
108079,2017-08-14,1
108079,2017-08-15,0
108634,2017-08-02,0
108634,2017-08-03,0
108634,2017-08-04,0
108634,2017-08-05,0
108634,2017-08-06,0
108634,2017-08-07,0
108634,2017-08-08,0
108634,2017-08-09,0
108634,2017-08-10,0
108634,2017-08-11,0
108634,2017-08-12,0
108634,2017-08-13,0
108634,2017-08-14,0
108634,2017-08-15,0
108696,2017-08-02,7
108696,2017-08-03,12
108696,2017-08-04,7
108696,2017-08-05,19
108696,2017-08-06,13
108696,2017-08-07,3
108696,2017-08-08,8
108696,2017-08-09,7
108696,2017-08-10,12
108696,2017-08-11,7
108696,2017-08-12,19
108696,2017-08-13,13
108696,2017-08-14,3
108696,2017-08-15,8
108698,2017-08-02,1
108698,2017-08-03,2
108698,2017-08-04,9
108698,2017-08-05,13
108698,2017-08-06,15
108698,2017-08-07,11
108698,2017-08-08,11
108698,2017-08-09,1
108698,2017-08-10,2
108698,2017-08-11,9
108698,2017-08-12,13
108698,2017-08-13,15
108698,2017-08-14,11
108698,2017-08-15,11
108701,2017-08-02,0
108701,2017-08-03,4
108701,2017-08-04,8
108701,2017-08-05,11
108701,2017-08-06,5
108701,2017-08-07,1
108701,2017-08-08,4
108701,2017-08-09,0
108701,2017-08-10,4
108701,2017-08-11,8
108701,2017-08-12,11
108701,2017-08-13,5
108701,2017-08-14,1
108701,2017-08-15,4
108786,2017-08-02,9
108786,2017-08-03,4
108786,2017-08-04,0
108786,2017-08-05,7
108786,2017-08-06,6
108786,2017-08-07,8
108786,2017-08-08,6
108786,2017-08-09,9
108786,2017-08-10,4
108786,2017-08-11,0
108786,2017-08-12,7
108786,2017-08-13,6
108786,2017-08-14,8
108786,2017-08-15,6
108797,2017-08-02,9
108797,2017-08-03,3
108797,2017-08-04,5
108797,2017-08-05,12
108797,2017-08-06,8
108797,2017-08-07,2
108797,2017-08-08,6
108797,2017-08-09,9
108797,2017-08-10,3
108797,2017-08-11,5
108797,2017-08-12,12
108797,2017-08-13,8
108797,2017-08-14,2
108797,2017-08-15,6
108831,2017-08-02,15.854
108831,2017-08-03,2.431
108831,2017-08-04,31.094
108831,2017-08-05,41.091
108831,2017-08-06,19.877
108831,2017-08-07,25.456
108831,2017-08-08,32.904
108831,2017-08-09,15.854
108831,2017-08-10,2.431
108831,2017-08-11,31.094
